,haplotype,motif_type,class,fraction
453,HG03456_hap1,Z,Unmethylated,0.3964851982750235
454,HG03456_hap1,G4,Methylated,0.6159395278199641
455,HG03456_hap1,G4,Unmethylated,0.3840604721800359
456,HG02666_hap1,IR,Methylated,0.5596832684964844
457,HG02666_hap1,IR,Unmethylated,0.4403167315035156
458,HG02666_hap1,MR,Methylated,0.5473031424777692
459,HG02666_hap1,MR,Unmethylated,0.4526968575222307
460,HG02666_hap1,DR,Methylated,0.5555094261815466
461,HG02666_hap1,DR,Unmethylated,0.44449057381845336
462,HG02666_hap1,APR,Methylated,0.5577676652761977
463,HG02666_hap1,APR,Unmethylated,0.4422323347238023
464,HG02666_hap1,Z,Methylated,0.5683290089280242
465,HG02666_hap1,Z,Unmethylated,0.4316709910719758
466,HG02666_hap1,G4,Methylated,0.5860209148029351
467,HG02666_hap1,G4,Unmethylated,0.4139790851970649
468,HG03248_hap2,IR,Methylated,0.5065938982473085
469,HG03248_hap2,IR,Unmethylated,0.4934061017526915
470,HG03248_hap2,MR,Methylated,0.48959831001239934
471,HG03248_hap2,MR,Unmethylated,0.5104016899876006
472,HG03248_hap2,DR,Methylated,0.5054510821864087
473,HG03248_hap2,DR,Unmethylated,0.4945489178135913
474,HG03248_hap2,APR,Methylated,0.5206800961005359
475,HG03248_hap2,APR,Unmethylated,0.47931990389946405
476,HG03248_hap2,Z,Methylated,0.5218080888183981
477,HG03248_hap2,Z,Unmethylated,0.4781919111816019
478,HG03248_hap2,G4,Methylated,0.531200351553257
479,HG03248_hap2,G4,Unmethylated,0.46879964844674304
